,Date,Site,Plot,Tag,ID,Size_x,T1_Date,T1_Survival,Taxa_broad,Site_Plot
119,17/4/2024,A5_6m,3,A0345,E,8,16/3/2025,1,Acropora spp.,A5_6m_3
120,17/4/2024,A5_6m,3,A0346,D,1,16/3/2025,0,Acropora spp.,A5_6m_3
121,17/4/2024,A5_6m,3,A0346,F,3,16/3/2025,1,Acropora spp.,A5_6m_3
122,17/4/2024,A5_6m,3,A0347,B,2,16/3/2025,0,Acropora spp.,A5_6m_3
123,17/4/2024,A5_6m,3,A0347,C,3,16/3/2025,1,Acropora spp.,A5_6m_3
124,21/4/2024,A7B,1,A0260,A,1.5,19/3/2025,0,Acropora spp.,A7B_1
125,18/4/2024,A7B,1,A0330,B,4,19/3/2025,1,Acropora spp.,A7B_1
126,18/4/2024,A7B,1,A0354,A,2,19/3/2025,0,Acropora spp.,A7B_1
127,18/4/2024,A7B,1,A0354,C,5,19/3/2025,0,Acropora spp.,A7B_1
128,18/4/2024,A7B,1,A0354,D,8,19/3/2025,0,Acropora spp.,A7B_1
129,18/4/2024,A7B,1,A0360,I,3,23/3/2025,0,Acropora spp.,A7B_1
130,21/4/2024,A7B,1,A0372,D,1,19/3/2025,1,Acropora spp.,A7B_1
131,18/4/2024,A7B,1,A0383,C,7,19/3/2025,1,Acropora spp.,A7B_1
132,18/4/2024,A7B,1,A0392,A,5,19/3/2025,1,Acropora spp.,A7B_1
133,20/4/2024,A7B,2,A0362,K,0.5,19/3/2025,0,Acropora spp.,A7B_2
134,20/4/2024,A7B,2,A0374,E,1,19/3/2025,1,Acropora spp.,A7B_2
135,18/4/2024,A7B,2,A0387,E,2,19/3/2025,1,Acropora spp.,A7B_2
136,20/4/2024,A7B,2,A0393,B,2,19/3/2025,1,Acropora spp.,A7B_2
137,20/4/2024,A7B,2,A0397,I,1,19/3/2025,0,Acropora spp.,A7B_2
138,20/4/2024,A7B,2,A0399,D,2,19/3/2025,0,Acropora spp.,A7B_2
139,13/4/2024,A8_6m,1,A0166,A,4,15/3/2025,0,Acropora spp.,A8_6m_1
140,13/4/2024,A8_6m,1,A0166,B,9,15/3/2025,0,Acropora spp.,A8_6m_1
141,13/4/2024,A8_6m,1,A0166,F,5,15/3/2025,1,Acropora spp.,A8_6m_1
142,13/4/2024,A8_6m,1,A0166,G,3,15/3/2025,1,Acropora spp.,A8_6m_1
143,14/4/2024,A8_6m,1,A0167,A,3,15/3/2025,0,Acropora spp.,A8_6m_1
144,14/4/2024,A8_6m,1,A0167,B,3,15/3/2025,0,Acropora spp.,A8_6m_1
145,14/4/2024,A8_6m,1,A0167,C,2,15/3/2025,1,Acropora spp.,A8_6m_1
146,14/4/2024,A8_6m,1,A0168,D,4,15/3/2025,1,Acropora spp.,A8_6m_1
147,14/4/2024,A8_6m,1,A0168,K,1,15/3/2025,1,Acropora spp.,A8_6m_1
148,13/4/2024,A8_6m,1,A0201,C,4,14/3/2025,1,Acropora spp.,A8_6m_1
149,13/4/2024,A8_6m,1,A0220,G,4.5,15/3/2025,1,Acropora spp.,A8_6m_1
150,13/4/2024,A8_6m,1,A0220,I,4,15/3/2025,0,Acropora spp.,A8_6m_1
151,13/4/2024,A8_6m,1,A0221,A,3,15/3/2025,0,Acropora spp.,A8_6m_1
152,14/4/2024,A8_6m,1,A0225,H,5,14/3/2025,1,Acropora spp.,A8_6m_1
153,14/4/2024,A8_6m,1,A0231,D,8,15/3/2025,1,Acropora spp.,A8_6m_1
154,14/4/2024,A8_6m,1,A0232,C,5,14/3/2025,1,Acropora spp.,A8_6m_1
155,14/4/2024,A8_6m,1,A0233,A,2,14/3/2025,1,Acropora spp.,A8_6m_1
156,14/4/2024,A8_6m,1,A0233,G,7,14/3/2025,1,Acropora spp.,A8_6m_1
157,13/4/2024,A8_6m,1,A0234,A,2.5,15/3/2025,0,Acropora spp.,A8_6m_1
158,13/4/2024,A8_6m,1,A0234,G,2,15/3/2025,1,Acropora spp.,A8_6m_1
159,13/4/2024,A8_6m,1,A0234,H,2,15/3/2025,1,Acropora spp.,A8_6m_1
160,13/4/2024,A8_6m,1,A0234,I,4,15/3/2025,1,Acropora spp.,A8_6m_1
161,13/4/2024,A8_6m,2,A0065,A,2,15/3/2025,1,Acropora spp.,A8_6m_2
162,13/4/2024,A8_6m,2,A0065,B,2,15/3/2025,1,Acropora spp.,A8_6m_2
163,13/4/2024,A8_6m,2,A0065,C,3,15/3/2025,1,Acropora spp.,A8_6m_2
164,13/4/2024,A8_6m,2,A0065,D,3,15/3/2025,1,Acropora spp.,A8_6m_2
165,13/4/2024,A8_6m,2,A0065,E,4,15/3/2025,1,Acropora spp.,A8_6m_2
166,13/4/2024,A8_6m,2,A0162,D,9,15/3/2025,1,Acropora spp.,A8_6m_2
167,13/4/2024,A8_6m,2,A0162,E,2,15/3/2025,0,Acropora spp.,A8_6m_2
168,13/4/2024,A8_6m,2,A0164,B,3,15/3/2025,1,Acropora spp.,A8_6m_2
169,13/4/2024,A8_6m,2,A0164,G,2,15/3/2025,0,Acropora spp.,A8_6m_2
170,13/4/2024,A8_6m,2,A0164,H,4,15/3/2025,0,Acropora spp.,A8_6m_2
171,13/4/2024,A8_6m,2,A0164,I,4,15/3/2025,1,Acropora spp.,A8_6m_2
172,14/4/2024,A8_6m,2,A0164,J,9,15/3/2025,0,Acropora spp.,A8_6m_2
173,14/4/2024,A8_6m,2,A0169,A,4,15/3/2025,1,Acropora spp.,A8_6m_2
174,14/4/2024,A8_6m,2,A0170,A,1,15/3/2025,1,Acropora spp.,A8_6m_2
175,14/4/2024,A8_6m,2,A0170,B,5,15/3/2025,1,Acropora spp.,A8_6m_2
176,14/4/2024,A8_6m,2,A0170,C,4,15/3/2025,1,Acropora spp.,A8_6m_2
177,14/4/2024,A8_6m,2,A0171,I,1,15/3/2025,0,Acropora spp.,A8_6m_2
178,14/4/2024,A8_6m,2,A0227,A,5,15/3/2025,1,Acropora spp.,A8_6m_2
179,13/4/2024,A8_6m,2,A0228,A,2.5,15/3/2025,0,Acropora spp.,A8_6m_2
180,13/4/2024,A8_6m,2,A0228,B,5.5,15/3/2025,1,Acropora spp.,A8_6m_2
181,14/4/2024,A8_6m,2,A0229,C,2,15/3/2025,1,Acropora spp.,A8_6m_2
182,14/4/2024,A8_6m,2,A0229,D,1,15/3/2025,1,Acropora spp.,A8_6m_2
183,14/4/2024,A8_6m,2,A0229,E,2,15/3/2025,0,Acropora spp.,A8_6m_2
184,14/4/2024,A8_6m,2,A0229,F,5,15/3/2025,1,Acropora spp.,A8_6m_2
185,14/4/2024,A8_6m,2,A0230,B,2,15/3/2025,1,Acropora spp.,A8_6m_2
186,14/4/2024,A8_6m,2,A0230,C,1,15/3/2025,0,Acropora spp.,A8_6m_2
187,14/4/2024,A8_6m,2,A0230,E,3,15/3/2025,0,Acropora spp.,A8_6m_2
188,14/4/2024,A8_6m,2,A0230,F,4,15/3/2025,0,Acropora spp.,A8_6m_2
189,13/4/2024,A8_6m,2,A0235,B,5,15/3/2025,1,Acropora spp.,A8_6m_2
190,13/4/2024,A8_6m,2,A0235,C,1.5,15/3/2025,0,Acropora spp.,A8_6m_2
191,13/4/2024,A8_6m,2,A0235,E,1.5,15/3/2025,0,Acropora spp.,A8_6m_2
192,13/4/2024,A8_6m,2,A0235,H,2.6,15/3/2025,1,Acropora spp.,A8_6m_2
193,13/4/2024,A8_6m,2,A0235,J,8,15/3/2025,1,Acropora spp.,A8_6m_2
194,15/4/2024,A1_6m,1,A0174,D,6,17/3/2025,1,Isopora spp.,A1_6m_1
195,15/4/2024,A1_6m,3,A0173,B,6,17/3/2025,0,Isopora spp.,A1_6m_3
196,15/4/2024,A1_6m,3,A0197,B,8,17/3/2025,1,Isopora spp.,A1_6m_3
197,15/4/2024,A1_6m,3,A0214,C,2,17/3/2025,0,Isopora spp.,A1_6m_3
198,15/4/2024,A1_6m,3,A0219,D,4,17/3/2025,1,Isopora spp.,A1_6m_3
199,22/4/2024,A4_6m,3,A0355,B,5,20/3/2025,1,Isopora spp.,A4_6m_3
200,17/4/2024,A5_6m,1,A0256,B,3,16/3/2025,0,Isopora spp.,A5_6m_1
201,21/4/2024,A7B,1,A0259,F,5,19/3/2025,1,Isopora spp.,A7B_1
202,18/4/2024,A7B,1,A0356,A,6,19/3/2025,1,Isopora spp.,A7B_1
203,18/4/2024,A7B,1,A0356,B,5,19/3/2025,1,Isopora spp.,A7B_1
204,21/4/2024,A7B,1,A0371,D,4,19/3/2025,0,Isopora spp.,A7B_1
205,21/4/2024,A7B,1,A0371,G,0.3,19/3/2025,0,Isopora spp.,A7B_1
206,18/4/2024,A7B,1,A0382,D,4,19/3/2025,1,Isopora spp.,A7B_1
207,18/4/2024,A7B,1,A0382,I,8,19/3/2025,1,Isopora spp.,A7B_1
208,18/4/2024,A7B,1,A0394,A,2,19/3/2025,1,Isopora spp.,A7B_1
209,18/4/2024,A7B,1,A0394,B,5,19/3/2025,1,Isopora spp.,A7B_1
210,18/4/2024,A7B,1,A0394,C,9,19/3/2025,1,Isopora spp.,A7B_1
211,18/4/2024,A7B,2,A0290,F,8,19/3/2025,1,Isopora spp.,A7B_2
212,20/4/2024,A7B,2,A0362,C,8,19/3/2025,1,Isopora spp.,A7B_2
213,20/4/2024,A7B,2,A0368,A,3,19/3/2025,1,Isopora spp.,A7B_2
214,20/4/2024,A7B,2,A0373,B,4,19/3/2025,1,Isopora spp.,A7B_2
215,20/4/2024,A7B,2,A0373,C,7,19/3/2025,1,Isopora spp.,A7B_2
216,20/4/2024,A7B,2,A0374,F,5,19/3/2025,1,Isopora spp.,A7B_2
217,21/4/2024,A7B,2,A0381,B,1.5,19/3/2025,0,Isopora spp.,A7B_2
218,18/4/2024,A7B,2,A0388,D,3,19/3/2025,1,Isopora spp.,A7B_2
219,20/4/2024,A7B,2,A0390,A,2,19/3/2025,1,Isopora spp.,A7B_2
220,20/4/2024,A7B,2,A0390,F,3,19/3/2025,1,Isopora spp.,A7B_2
221,20/4/2024,A7B,2,A0391,A,2,19/3/2025,0,Isopora spp.,A7B_2
222,20/4/2024,A7B,2,A0393,A,3,19/3/2025,1,Isopora spp.,A7B_2
223,20/4/2024,A7B,2,A0397,A,1,19/3/2025,0,Isopora spp.,A7B_2
224,20/4/2024,A7B,2,A0397,F,0.5,19/3/2025,0,Isopora spp.,A7B_2
225,20/4/2024,A7B,2,A0397,G,2,19/3/2025,0,Isopora spp.,A7B_2
226,20/4/2024,A7B,2,A0399,A,8,19/3/2025,1,Isopora spp.,A7B_2
227,20/4/2024,A7B,2,A0399,H,3,19/3/2025,0,Isopora spp.,A7B_2
228,14/4/2024,A8_6m,1,A0168,I,3,15/3/2025,1,Isopora spp.,A8_6m_1
229,14/4/2024,A8_6m,1,A0168,L,8,15/3/2025,1,Isopora spp.,A8_6m_1
230,13/4/2024,A8_6m,1,A0201,D,5,14/3/2025,1,Isopora spp.,A8_6m_1
231,13/4/2024,A8_6m,1,A0202,C,8,14/3/2025,0,Isopora spp.,A8_6m_1
232,14/4/2024,A8_6m,1,A0225,A,9,14/3/2025,1,Isopora spp.,A8_6m_1
233,14/4/2024,A8_6m,1,A0231,B,4.5,14/3/2025,1,Isopora spp.,A8_6m_1
234,14/4/2024,A8_6m,1,A0232,A,6,14/3/2025,1,Isopora spp.,A8_6m_1
235,14/4/2024,A8_6m,2,A0171,C,3,15/3/2025,1,Isopora spp.,A8_6m_2
236,14/4/2024,A8_6m,2,A0171,G,5,15/3/2025,1,Isopora spp.,A8_6m_2
237,13/4/2024,A8_6m,2,A0235,A,5,15/3/2025,1,Isopora spp.,A8_6m_2
238,15/4/2024,A1_6m,1,A0176,D,6,17/3/2025,0,Pocillopora spp.,A1_6m_1
239,15/4/2024,A1_6m,1,A0216,E,6,17/3/2025,1,Pocillopora spp.,A1_6m_1
240,15/4/2024,A1_6m,1,A0240,B,3,17/3/2025,0,Pocillopora spp.,A1_6m_1
241,15/4/2024,A1_6m,3,A0173,J,4,17/3/2025,1,Pocillopora spp.,A1_6m_3
242,15/4/2024,A1_6m,3,A0197,J,6,17/3/2025,1,Pocillopora spp.,A1_6m_3
243,23/4/2024,A4_6m,2,A0274,A,8,20/3/2025,1,Pocillopora spp.,A4_6m_2
244,23/4/2024,A4_6m,2,A0274,J,6,20/3/2025,1,Pocillopora spp.,A4_6m_2
245,23/4/2024,A4_6m,2,A0276,A,1,20/3/2025,0,Pocillopora spp.,A4_6m_2
246,23/4/2024,A4_6m,2,A0284,A,6,20/3/2025,1,Pocillopora spp.,A4_6m_2
247,23/4/2024,A4_6m,2,A0287,A,2,20/3/2025,1,Pocillopora spp.,A4_6m_2
248,23/4/2024,A4_6m,2,A0409,E,2,20/3/2025,1,Pocillopora spp.,A4_6m_2
249,23/4/2024,A4_6m,2,A0409,H,3,20/3/2025,1,Pocillopora spp.,A4_6m_2
250,23/4/2024,A4_6m,2,A0412,C,4,20/3/2025,1,Pocillopora spp.,A4_6m_2
251,22/4/2024,A4_6m,3,A0265,D,2,20/3/2025,1,Pocillopora spp.,A4_6m_3
252,22/4/2024,A4_6m,3,A0265,E,4,20/3/2025,1,Pocillopora spp.,A4_6m_3
253,22/4/2024,A4_6m,3,A0266,C,0.5,20/3/2025,0,Pocillopora spp.,A4_6m_3
254,22/4/2024,A4_6m,3,A0266,E,1.5,20/3/2025,1,Pocillopora spp.,A4_6m_3
255,22/4/2024,A4_6m,3,A0270,A,4,20/3/2025,0,Pocillopora spp.,A4_6m_3
256,22/4/2024,A4_6m,3,A0278,A,2,20/3/2025,1,Pocillopora spp.,A4_6m_3
257,22/4/2024,A4_6m,3,A0279,B,2,20/3/2025,1,Pocillopora spp.,A4_6m_3
258,22/4/2024,A4_6m,3,A0279,E,7,20/3/2025,1,Pocillopora spp.,A4_6m_3
259,22/4/2024,A4_6m,3,A0286,B,1.5,20/3/2025,0,Pocillopora spp.,A4_6m_3
260,22/4/2024,A4_6m,3,A0348,F,7,20/3/2025,0,Pocillopora spp.,A4_6m_3
261,22/4/2024,A4_6m,3,A0348,G,8,20/3/2025,1,Pocillopora spp.,A4_6m_3
262,22/4/2024,A4_6m,3,A0355,C,6,20/3/2025,0,Pocillopora spp.,A4_6m_3
263,22/4/2024,A4_6m,3,A0369,F,9,20/3/2025,1,Pocillopora spp.,A4_6m_3
264,22/4/2024,A4_6m,3,A0377,B,2,20/3/2025,1,Pocillopora spp.,A4_6m_3
265,16/4/2024,A5_6m,1,A0209,C,7.5,16/3/2025,1,Pocillopora spp.,A5_6m_1
266,16/4/2024,A5_6m,1,A0210,A,3,16/3/2025,0,Pocillopora spp.,A5_6m_1
267,16/4/2024,A5_6m,1,A0210,B,4,16/3/2025,0,Pocillopora spp.,A5_6m_1
268,16/4/2024,A5_6m,1,A0245,B,2,16/3/2025,0,Pocillopora spp.,A5_6m_1
269,17/4/2024,A5_6m,1,A0255,A,2,16/3/2025,1,Pocillopora spp.,A5_6m_1
270,17/4/2024,A5_6m,1,A0255,C,9,16/3/2025,1,Pocillopora spp.,A5_6m_1
271,17/4/2024,A5_6m,1,A0255,E,2.5,16/3/2025,0,Pocillopora spp.,A5_6m_1
272,17/4/2024,A5_6m,1,A0255,F,4,16/3/2025,1,Pocillopora spp.,A5_6m_1
273,17/4/2024,A5_6m,1,A0328,A,2,16/3/2025,1,Pocillopora spp.,A5_6m_1
274,17/4/2024,A5_6m,1,A0328,E,2,16/3/2025,0,Pocillopora spp.,A5_6m_1
275,17/4/2024,A5_6m,1,A0329,B,9,16/3/2025,0,Pocillopora spp.,A5_6m_1
276,17/4/2024,A5_6m,1,A0329,C,4,16/3/2025,0,Pocillopora spp.,A5_6m_1
